date,ident,evol.temp,assay.temp,evol.rep,assay.rep,conc.N,gr.rate,errs,sds,comments
112116,403,31,16,4,1,20,0.20111,0.04009,0.0982,ok
112116,404,31,16,4,2,20,0.28809,0.05513,0.13505,ok
112116,405,31,16,4,3,20,0.22546,0.05247,0.12852,ok
112116,406,31,16,4,1,40,0.39085,0.01081,0.02648,ok
112116,407,31,16,4,2,40,0.38472,0.05711,0.13989,ok
112116,408,31,16,4,3,40,0.38709,0.03895,0.0954,ok
112116,409,31,16,4,1,60,0.40682,0.00389,0.00954,ok
112116,410,31,16,4,2,60,0.42365,0.0785,0.19229,ok
112116,411,31,16,4,3,60,0.47832,0.02533,0.06204,ok
112116,412,31,16,4,1,90,0.55172,0.05455,0.13361,ok
112116,413,31,16,4,2,90,0.50951,0.10945,0.26809,ok
112116,414,31,16,4,3,90,0.56282,0.05756,0.14098,ok
112116,415,31,16,4,1,150,0.52836,0.07392,0.18107,ok
112116,416,31,16,4,2,150,0.52451,0.06255,0.15323,ok
112116,417,31,16,4,3,150,0.56637,0.01967,0.04818,ok
112116,418,31,16,4,1,882,0.50944,0.0754,0.18469,ok
112116,419,31,16,4,2,882,0.58127,0.03528,0.08642,ok
